#
#	WiPi-Heat Changelog
#
#

Version  Date         Kernel    Changes
=======  ====         ======    =======

3.1      22-12-2019   4.14.71+  Network retries & tuning
3.0      29-05-2019   4.14.71+  Operational confirmation
2.3      28-02-2019   4.14.71+  Network Resilience (Payload ACK)
2.2      30-01-2019   4.14.71+  Network statistics & tuning
2.1      24-12-2018   4.14.71+  Various minor enhancements
2.0      15-11-2018   4.14.71+  Revised Kernel plus robustness enhancements
1.3      24-08-2018   4.9.59+   Enhanced Usage information
1.2      27-04-2018   4.9.59+   Revised DHT reparse algorithm
1.1      16-04-2018   4.9.59+   Trial upgrades & bug fixes
1.0      31-03-2018   4.9.59+   Initial Release
0.7      07-03-2018   4.9.59+   Home trial baseline
0.6      21-02-2018   4.9.59+   Initial Web Interface
0.5      05-02-2018   4.9.59+   Beta release
